code,provider,english_name,polish_name
AR,deepl,Arabic,arabski
BG,deepl,Bulgarian,bułgarski
ZH,deepl,Chinese,chiński
CS,deepl,Czech,czeski
DA,deepl,Danish,duński
NL,deepl,Dutch,holenderski
EN,deepl,English,angielski
ET,deepl,Estonian,estoński
FI,deepl,Finnish,fiński
FR,deepl,French,francuski
DE,deepl,German,niemiecki
EL,deepl,Greek,grecki
HE,deepl,Hebrew,hebrajski
HU,deepl,Hungarian,węgierski
ID,deepl,Indonesian,indonezyjski
IT,deepl,Italian,włoski
JA,deepl,Japanese,japoński
KO,deepl,Korean,koreański
LV,deepl,Latvian,łotewski
LT,deepl,Lithuanian,litewski
NB,deepl,Norwegian Bokmål,norweski (bokmål)
PL,deepl,Polish,polski
PT,deepl,Portuguese,portugalski
RO,deepl,Romanian,rumuński
RU,deepl,Russian,rosyjski
SK,deepl,Slovak,słowacki
SL,deepl,Slovenian,słoweński
ES,deepl,Spanish,hiszpański
SV,deepl,Swedish,szwedzki
TH,deepl,Thai,tajski
TR,deepl,Turkish,turecki
UK,deepl,Ukrainian,ukraiński
VI,deepl,Vietnamese,wietnamski
ZH-HANS,deepl,Chinese (Simplified),chiński (uproszczony)
ZH-HANT,deepl,Chinese (Traditional),chiński (tradycyjny)
EN-US,deepl,English (American),angielski (amerykański)
EN-GB,deepl,English (British),angielski (brytyjski)
PT-BR,deepl,Portuguese (Brazilian),portugalski (brazylijski)
PT-PT,deepl,Portuguese (European),portugalski (europejski)
af,google,Afrikaans,afrikaans
sq,google,Albanian,albański
ar,google,Arabic,arabski
hy,google,Armenian,ormiański
az,google,Azerbaijani,azerbejdżański
eu,google,Basque,baskijski
be,google,Belarusian,białoruski
bs,google,Bosnian,bośniacki
br,google,Breton,bretoński
bg,google,Bulgarian,bułgarski
ca,google,Catalan,kataloński
zh-CN,google,Chinese (Simplified),chiński (uproszczony)
zh-TW,google,Chinese (Traditional),chiński (tradycyjny)
hr,google,Croatian,chorwacki
cs,google,Czech,czeski
da,google,Danish,duński
nl,google,Dutch,holenderski
en,google,English,angielski
et,google,Estonian,estoński
fi,google,Finnish,fiński
fr,google,French,francuski
ka,google,Georgian,gruziński
de,google,German,niemiecki
el,google,Greek,grecki
he,google,Hebrew,hebrajski
hu,google,Hungarian,węgierski
is,google,Icelandic,islandzki
id,google,Indonesian,indonezyjski
ga,google,Irish,irlandzki
it,google,Italian,włoski
ja,google,Japanese,japoński
ko,google,Korean,koreański
lv,google,Latvian,łotewski
lt,google,Lithuanian,litewski
lb,google,Luxembourgish,luksemburski
mk,google,Macedonian,macedoński
no,google,Norwegian,norweski
pl,google,Polish,polski
pt-BR,google,Portuguese (Brazil),portugalski (brazylijski)
pt-PT,google,Portuguese (Portugal),portugalski (portugalski)
pt,google,Portuguese,portugalski
ro,google,Romanian,rumuński
ru,google,Russian,rosyjski
gd,google,Scots Gaelic,szkocki gaelicki
sr,google,Serbian,serbski
sk,google,Slovak,słowacki
sl,google,Slovenian,słoweński
es,google,Spanish,hiszpański
sw,google,Swahili,suahili
sv,google,Swedish,szwedzki
th,google,Thai,tajski
tr,google,Turkish,turecki
uk,google,Ukrainian,ukraiński
vi,google,Vietnamese,wietnamski
cy,google,Welsh,walijski
Albanian,marianmt,Albanian,albański
Arabic,marianmt,Arabic,arabski
Belarusian,marianmt,Belarusian,białoruski
Bulgarian,marianmt,Bulgarian,bułgarski
Catalan,marianmt,Catalan,kataloński
Chinese,marianmt,Chinese,chiński
Croatian,marianmt,Croatian,chorwacki
Czech,marianmt,Czech,czeski
Danish,marianmt,Danish,duński
Dutch,marianmt,Dutch,holenderski
English,marianmt,English,angielski
Estonian,marianmt,Estonian,estoński
Finnish,marianmt,Finnish,fiński
French,marianmt,French,francuski
German,marianmt,German,niemiecki
Greek,marianmt,Greek,grecki
Hebrew,marianmt,Hebrew,hebrajski
Hindi,marianmt,Hindi,hindi
Hungarian,marianmt,Hungarian,węgierski
Icelandic,marianmt,Icelandic,islandzki
Indonesian,marianmt,Indonesian,indonezyjski
Irish,marianmt,Irish,irlandzki
Italian,marianmt,Italian,włoski
Japanese,marianmt,Japanese,japoński
Korean,marianmt,Korean,koreański
Latvian,marianmt,Latvian,łotewski
Lithuanian,marianmt,Lithuanian,litewski
Macedonian,marianmt,Macedonian,macedoński
Maltese,marianmt,Maltese,maltański
Norwegian,marianmt,Norwegian,norweski
Polish,marianmt,Polish,polski
Portuguese,marianmt,Portuguese,portugalski
Romanian,marianmt,Romanian,rumuński
Russian,marianmt,Russian,rosyjski
Slovak,marianmt,Slovak,słowacki
Slovenian,marianmt,Slovenian,słoweński
Spanish,marianmt,Spanish,hiszpański
Swahili,marianmt,Swahili,suahili
Swedish,marianmt,Swedish,szwedzki
Thai,marianmt,Thai,tajski
Turkish,marianmt,Turkish,turecki
Ukrainian,marianmt,Ukrainian,ukraiński
Vietnamese,marianmt,Vietnamese,wietnamski
Welsh,marianmt,Welsh,walijski
